-> EPOCH :  34 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 18.145 , KL LOSS : 178.137 , TOTAL LOSS : 18.145 , MEAN : -0.001 , STD : 1.476
-> EPOCH :  35 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 17.713 , KL LOSS : 180.779 , TOTAL LOSS : 17.713 , MEAN : -0.001 , STD : 1.475
-> EPOCH :  36 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 17.323 , KL LOSS : 181.964 , TOTAL LOSS : 17.323 , MEAN : -0.001 , STD : 1.474
-> EPOCH :  37 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 17.315 , KL LOSS : 183.887 , TOTAL LOSS : 17.315 , MEAN : -0.001 , STD : 1.473
-> EPOCH :  38 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 17.094 , KL LOSS : 185.071 , TOTAL LOSS : 17.094 , MEAN : -0.001 , STD : 1.472
-> EPOCH :  39 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 16.978 , KL LOSS : 188.142 , TOTAL LOSS : 16.978 , MEAN : -0.001 , STD : 1.471
-> EPOCH :  40 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 16.872 , KL LOSS : 190.965 , TOTAL LOSS : 16.872 , MEAN : -0.001 , STD : 1.471
-> EPOCH :  41 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 16.756 , KL LOSS : 191.491 , TOTAL LOSS : 16.756 , MEAN : -0.002 , STD : 1.470
-> EPOCH :  42 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 16.379 , KL LOSS : 194.039 , TOTAL LOSS : 16.379 , MEAN : -0.002 , STD : 1.470
-> EPOCH :  43 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 16.254 , KL LOSS : 194.849 , TOTAL LOSS : 16.254 , MEAN : -0.002 , STD : 1.470
-> EPOCH :  44 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 16.202 , KL LOSS : 195.834 , TOTAL LOSS : 16.202 , MEAN : -0.002 , STD : 1.468
-> EPOCH :  45 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 16.147 , KL LOSS : 199.038 , TOTAL LOSS : 16.147 , MEAN : -0.002 , STD : 1.467
-> EPOCH :  46 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 15.915 , KL LOSS : 198.725 , TOTAL LOSS : 15.915 , MEAN : -0.002 , STD : 1.466
-> EPOCH :  47 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 15.711 , KL LOSS : 201.891 , TOTAL LOSS : 15.711 , MEAN : -0.002 , STD : 1.465
-> EPOCH :  48 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 15.561 , KL LOSS : 203.585 , TOTAL LOSS : 15.561 , MEAN : -0.002 , STD : 1.466
-> EPOCH :  49 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 15.486 , KL LOSS : 204.947 , TOTAL LOSS : 15.486 , MEAN : -0.002 , STD : 1.465
-> EPOCH :  50 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 15.362 , KL LOSS : 205.306 , TOTAL LOSS : 15.362 , MEAN : -0.002 , STD : 1.464
-> EPOCH :  51 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 15.294 , KL LOSS : 206.917 , TOTAL LOSS : 15.294 , MEAN : -0.002 , STD : 1.463
-> EPOCH :  52 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 15.140 , KL LOSS : 208.379 , TOTAL LOSS : 15.140 , MEAN : -0.002 , STD : 1.463
-> EPOCH :  53 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 15.279 , KL LOSS : 210.635 , TOTAL LOSS : 15.279 , MEAN : -0.002 , STD : 1.462
-> EPOCH :  54 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 15.107 , KL LOSS : 212.160 , TOTAL LOSS : 15.107 , MEAN : -0.002 , STD : 1.462
-> EPOCH :  55 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 14.974 , KL LOSS : 212.956 , TOTAL LOSS : 14.974 , MEAN : -0.002 , STD : 1.462
-> EPOCH :  56 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 14.952 , KL LOSS : 214.034 , TOTAL LOSS : 14.952 , MEAN : -0.002 , STD : 1.461
-> EPOCH :  57 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 14.813 , KL LOSS : 214.236 , TOTAL LOSS : 14.813 , MEAN : -0.002 , STD : 1.460
-> EPOCH :  58 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 14.776 , KL LOSS : 216.234 , TOTAL LOSS : 14.776 , MEAN : -0.002 , STD : 1.460
-> EPOCH :  59 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 14.879 , KL LOSS : 219.110 , TOTAL LOSS : 14.879 , MEAN : -0.002 , STD : 1.459
-> EPOCH :  60 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 14.649 , KL LOSS : 221.124 , TOTAL LOSS : 14.649 , MEAN : -0.002 , STD : 1.458
-> EPOCH :  61 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 14.508 , KL LOSS : 221.664 , TOTAL LOSS : 14.508 , MEAN : -0.002 , STD : 1.457
-> EPOCH :  62 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 14.428 , KL LOSS : 223.956 , TOTAL LOSS : 14.428 , MEAN : -0.002 , STD : 1.457
-> EPOCH :  63 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 14.373 , KL LOSS : 226.716 , TOTAL LOSS : 14.373 , MEAN : -0.002 , STD : 1.456
-> EPOCH :  64 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 14.332 , KL LOSS : 228.449 , TOTAL LOSS : 14.332 , MEAN : -0.002 , STD : 1.456
-> EPOCH :  65 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 14.196 , KL LOSS : 228.177 , TOTAL LOSS : 14.196 , MEAN : -0.002 , STD : 1.456
-> EPOCH :  66 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 14.187 , KL LOSS : 226.546 , TOTAL LOSS : 14.187 , MEAN : -0.002 , STD : 1.455
-> EPOCH :  67 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 14.127 , KL LOSS : 227.865 , TOTAL LOSS : 14.127 , MEAN : -0.002 , STD : 1.455
-> EPOCH :  68 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 14.093 , KL LOSS : 227.555 , TOTAL LOSS : 14.093 , MEAN : -0.002 , STD : 1.455
-> EPOCH :  69 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 14.117 , KL LOSS : 230.595 , TOTAL LOSS : 14.117 , MEAN : -0.003 , STD : 1.453
-> EPOCH :  70 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 14.098 , KL LOSS : 236.608 , TOTAL LOSS : 14.098 , MEAN : -0.003 , STD : 1.453
-> EPOCH :  71 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 14.099 , KL LOSS : 238.242 , TOTAL LOSS : 14.099 , MEAN : -0.003 , STD : 1.453
-> EPOCH :  72 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13.873 , KL LOSS : 236.572 , TOTAL LOSS : 13.873 , MEAN : -0.003 , STD : 1.453
-> EPOCH :  73 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13.946 , KL LOSS : 240.158 , TOTAL LOSS : 13.946 , MEAN : -0.003 , STD : 1.452
-> EPOCH :  74 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13.635 , KL LOSS : 241.478 , TOTAL LOSS : 13.635 , MEAN : -0.003 , STD : 1.451
-> EPOCH :  75 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13.642 , KL LOSS : 244.361 , TOTAL LOSS : 13.642 , MEAN : -0.003 , STD : 1.451
-> EPOCH :  76 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 13.600 , KL LOSS : 243.940 , TOTAL LOSS : 13.600 , MEAN : -0.003 , STD : 1.451
