-> EPOCH :  33 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 46717.550 , KL LOSS : 13125.861 , TOTAL LOSS : 46717.550 , MEAN : 0.001 , STD : 1.490
-> EPOCH :  34 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 45856.570 , KL LOSS : 10243.809 , TOTAL LOSS : 45856.570 , MEAN : 0.001 , STD : 1.489
-> EPOCH :  35 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 45074.913 , KL LOSS : 11172.713 , TOTAL LOSS : 45074.913 , MEAN : 0.001 , STD : 1.487
-> EPOCH :  36 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 44334.018 , KL LOSS : 5942.246 , TOTAL LOSS : 44334.018 , MEAN : 0.001 , STD : 1.487
-> EPOCH :  37 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 43462.254 , KL LOSS : 4174.139 , TOTAL LOSS : 43462.254 , MEAN : 0.001 , STD : 1.487
-> EPOCH :  38 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 43291.367 , KL LOSS : 7934.432 , TOTAL LOSS : 43291.367 , MEAN : 0.001 , STD : 1.487
-> EPOCH :  39 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 43232.927 , KL LOSS : 15273.424 , TOTAL LOSS : 43232.927 , MEAN : 0.001 , STD : 1.486
-> EPOCH :  40 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 42199.590 , KL LOSS : 6648.017 , TOTAL LOSS : 42199.590 , MEAN : 0.001 , STD : 1.486
-> EPOCH :  41 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 41792.793 , KL LOSS : 7765.026 , TOTAL LOSS : 41792.793 , MEAN : 0.001 , STD : 1.484
-> EPOCH :  42 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 41815.344 , KL LOSS : 6189.270 , TOTAL LOSS : 41815.344 , MEAN : 0.001 , STD : 1.483
-> EPOCH :  43 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 41748.663 , KL LOSS : 5778.233 , TOTAL LOSS : 41748.663 , MEAN : 0.001 , STD : 1.482
-> EPOCH :  44 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 41069.967 , KL LOSS : 3029.390 , TOTAL LOSS : 41069.967 , MEAN : 0.001 , STD : 1.483
-> EPOCH :  45 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 41268.230 , KL LOSS : 1901.867 , TOTAL LOSS : 41268.230 , MEAN : 0.001 , STD : 1.483
-> EPOCH :  46 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 39799.693 , KL LOSS : 1669.206 , TOTAL LOSS : 39799.693 , MEAN : 0.001 , STD : 1.482
-> EPOCH :  47 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 40139.733 , KL LOSS : 2103.476 , TOTAL LOSS : 40139.733 , MEAN : 0.001 , STD : 1.481
-> EPOCH :  48 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 40078.051 , KL LOSS : 1939.750 , TOTAL LOSS : 40078.051 , MEAN : 0.001 , STD : 1.480
-> EPOCH :  49 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 39264.847 , KL LOSS : 1698.408 , TOTAL LOSS : 39264.847 , MEAN : 0.001 , STD : 1.479
-> EPOCH :  50 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 39004.254 , KL LOSS : 1650.459 , TOTAL LOSS : 39004.254 , MEAN : 0.001 , STD : 1.478
-> EPOCH :  51 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 39017.168 , KL LOSS : 1234.144 , TOTAL LOSS : 39017.168 , MEAN : 0.001 , STD : 1.478
-> EPOCH :  52 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 38893.122 , KL LOSS : 739.349 , TOTAL LOSS : 38893.122 , MEAN : 0.001 , STD : 1.476
-> EPOCH :  53 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 38078.968 , KL LOSS : 1689.152 , TOTAL LOSS : 38078.968 , MEAN : 0.001 , STD : 1.475
-> EPOCH :  54 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 37762.922 , KL LOSS : 1246.052 , TOTAL LOSS : 37762.922 , MEAN : 0.001 , STD : 1.475
-> EPOCH :  55 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 37635.840 , KL LOSS : 1031.636 , TOTAL LOSS : 37635.840 , MEAN : 0.001 , STD : 1.475
-> EPOCH :  56 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 37722.068 , KL LOSS : 817.455 , TOTAL LOSS : 37722.068 , MEAN : 0.001 , STD : 1.474
-> EPOCH :  57 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 37443.093 , KL LOSS : 991.955 , TOTAL LOSS : 37443.093 , MEAN : 0.001 , STD : 1.474
-> EPOCH :  58 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 36982.780 , KL LOSS : 773.852 , TOTAL LOSS : 36982.780 , MEAN : 0.001 , STD : 1.472
