-> EPOCH :  34 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 19.945 , KL LOSS : 625364.921 , TOTAL LOSS : 19.945 , MEAN : -0.000 , STD : 1.513
-> EPOCH :  35 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 19.906 , KL LOSS : 241370.717 , TOTAL LOSS : 19.906 , MEAN : -0.000 , STD : 1.514
-> EPOCH :  36 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 19.292 , KL LOSS : 1831759.819 , TOTAL LOSS : 19.292 , MEAN : -0.000 , STD : 1.514
-> EPOCH :  37 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 19.270 , KL LOSS : 153089.128 , TOTAL LOSS : 19.270 , MEAN : -0.000 , STD : 1.514
-> EPOCH :  38 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 19.110 , KL LOSS : 83394.900 , TOTAL LOSS : 19.110 , MEAN : -0.000 , STD : 1.513
-> EPOCH :  39 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 18.719 , KL LOSS : 89088.243 , TOTAL LOSS : 18.719 , MEAN : -0.000 , STD : 1.512
-> EPOCH :  40 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 18.630 , KL LOSS : 673742.244 , TOTAL LOSS : 18.630 , MEAN : -0.000 , STD : 1.510
-> EPOCH :  41 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 18.688 , KL LOSS : 219753.716 , TOTAL LOSS : 18.688 , MEAN : -0.000 , STD : 1.510
-> EPOCH :  42 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 18.380 , KL LOSS : 120005.549 , TOTAL LOSS : 18.380 , MEAN : -0.000 , STD : 1.510
-> EPOCH :  43 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 18.004 , KL LOSS : 218673.006 , TOTAL LOSS : 18.004 , MEAN : -0.000 , STD : 1.509
-> EPOCH :  44 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 18.064 , KL LOSS : 46413.592 , TOTAL LOSS : 18.064 , MEAN : -0.000 , STD : 1.509
-> EPOCH :  45 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 17.701 , KL LOSS : 94157.179 , TOTAL LOSS : 17.701 , MEAN : -0.001 , STD : 1.508
-> EPOCH :  46 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 17.895 , KL LOSS : 60925.184 , TOTAL LOSS : 17.895 , MEAN : -0.001 , STD : 1.508
-> EPOCH :  47 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 17.694 , KL LOSS : 86605.510 , TOTAL LOSS : 17.694 , MEAN : -0.000 , STD : 1.508
-> EPOCH :  48 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 17.673 , KL LOSS : 104603.029 , TOTAL LOSS : 17.673 , MEAN : -0.000 , STD : 1.507
-> EPOCH :  49 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 17.763 , KL LOSS : 81882.480 , TOTAL LOSS : 17.763 , MEAN : -0.000 , STD : 1.508
