-> EPOCH :  33 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 47052.667 , KL LOSS : 222109.838 , TOTAL LOSS : 47052.667 , MEAN : -0.000 , STD : 1.513
-> EPOCH :  34 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 46298.469 , KL LOSS : 269826.605 , TOTAL LOSS : 46298.469 , MEAN : -0.000 , STD : 1.514
-> EPOCH :  35 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 45757.264 , KL LOSS : 190983.323 , TOTAL LOSS : 45757.264 , MEAN : -0.000 , STD : 1.513
-> EPOCH :  36 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 46121.538 , KL LOSS : 97165.074 , TOTAL LOSS : 46121.538 , MEAN : -0.000 , STD : 1.513
-> EPOCH :  37 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 44546.217 , KL LOSS : 113712.475 , TOTAL LOSS : 44546.217 , MEAN : -0.000 , STD : 1.511
-> EPOCH :  38 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 43869.231 , KL LOSS : 161281.514 , TOTAL LOSS : 43869.231 , MEAN : 0.000 , STD : 1.510
-> EPOCH :  39 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 43736.652 , KL LOSS : 166132.633 , TOTAL LOSS : 43736.652 , MEAN : 0.000 , STD : 1.509
-> EPOCH :  40 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 43417.658 , KL LOSS : 65060.552 , TOTAL LOSS : 43417.658 , MEAN : 0.000 , STD : 1.510
-> EPOCH :  41 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 43177.684 , KL LOSS : 70426.259 , TOTAL LOSS : 43177.684 , MEAN : 0.000 , STD : 1.510
-> EPOCH :  42 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 42032.270 , KL LOSS : 53287.684 , TOTAL LOSS : 42032.270 , MEAN : 0.000 , STD : 1.510
-> EPOCH :  43 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 42118.289 , KL LOSS : 32946.520 , TOTAL LOSS : 42118.289 , MEAN : 0.000 , STD : 1.511
-> EPOCH :  44 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 42722.462 , KL LOSS : 27700.240 , TOTAL LOSS : 42722.462 , MEAN : 0.000 , STD : 1.512
-> EPOCH :  45 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 41676.908 , KL LOSS : 34833.414 , TOTAL LOSS : 41676.908 , MEAN : 0.000 , STD : 1.512
-> EPOCH :  46 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 41577.645 , KL LOSS : 55809.712 , TOTAL LOSS : 41577.645 , MEAN : 0.000 , STD : 1.510
-> EPOCH :  47 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 41159.579 , KL LOSS : 31976.673 , TOTAL LOSS : 41159.579 , MEAN : 0.000 , STD : 1.510
-> EPOCH :  48 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 40681.303 , KL LOSS : 24858.637 , TOTAL LOSS : 40681.303 , MEAN : 0.000 , STD : 1.510
-> EPOCH :  49 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 41274.147 , KL LOSS : 31125.677 , TOTAL LOSS : 41274.147 , MEAN : 0.000 , STD : 1.510
-> EPOCH :  50 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 40909.793 , KL LOSS : 32071.511 , TOTAL LOSS : 40909.793 , MEAN : 0.000 , STD : 1.509
-> EPOCH :  51 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 40904.506 , KL LOSS : 42975.565 , TOTAL LOSS : 40904.506 , MEAN : 0.000 , STD : 1.509
-> EPOCH :  52 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 40170.837 , KL LOSS : 53221.190 , TOTAL LOSS : 40170.837 , MEAN : 0.000 , STD : 1.508
-> EPOCH :  53 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 40316.024 , KL LOSS : 47008.077 , TOTAL LOSS : 40316.024 , MEAN : 0.000 , STD : 1.507
-> EPOCH :  54 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 39346.505 , KL LOSS : 46217.081 , TOTAL LOSS : 39346.505 , MEAN : 0.000 , STD : 1.506
-> EPOCH :  55 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 38762.848 , KL LOSS : 39692.562 , TOTAL LOSS : 38762.848 , MEAN : 0.000 , STD : 1.505
-> EPOCH :  56 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 40155.596 , KL LOSS : 35453.027 , TOTAL LOSS : 40155.596 , MEAN : 0.001 , STD : 1.504
-> EPOCH :  57 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 39862.187 , KL LOSS : 41359.607 , TOTAL LOSS : 39862.187 , MEAN : 0.001 , STD : 1.504
-> EPOCH :  58 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 38955.774 , KL LOSS : 70531.081 , TOTAL LOSS : 38955.774 , MEAN : 0.001 , STD : 1.503
-> EPOCH :  59 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 39856.479 , KL LOSS : 78443.800 , TOTAL LOSS : 39856.479 , MEAN : 0.001 , STD : 1.502
-> EPOCH :  60 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 40197.965 , KL LOSS : 73923.930 , TOTAL LOSS : 40197.965 , MEAN : 0.001 , STD : 1.503
-> EPOCH :  61 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 39121.333 , KL LOSS : 93606.404 , TOTAL LOSS : 39121.333 , MEAN : 0.001 , STD : 1.505
-> EPOCH :  62 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 39036.809 , KL LOSS : 70743.478 , TOTAL LOSS : 39036.809 , MEAN : 0.001 , STD : 1.503
-> EPOCH :  63 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 37837.062 , KL LOSS : 61943.270 , TOTAL LOSS : 37837.062 , MEAN : 0.001 , STD : 1.504
-> EPOCH :  64 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 38254.047 , KL LOSS : 40223.843 , TOTAL LOSS : 38254.047 , MEAN : 0.001 , STD : 1.502
