-> EPOCH :  34 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 48.447 , KL LOSS : 0.564 , TOTAL LOSS : 51.267 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  35 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 47.156 , KL LOSS : 0.671 , TOTAL LOSS : 50.511 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  36 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 48.460 , KL LOSS : 0.617 , TOTAL LOSS : 51.547 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  37 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 47.019 , KL LOSS : 0.553 , TOTAL LOSS : 49.783 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  38 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 48.238 , KL LOSS : 0.592 , TOTAL LOSS : 51.200 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  39 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 46.252 , KL LOSS : 0.525 , TOTAL LOSS : 48.877 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  40 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 51.559 , KL LOSS : 0.468 , TOTAL LOSS : 53.900 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  41 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 48.696 , KL LOSS : 0.696 , TOTAL LOSS : 52.175 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  42 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 48.698 , KL LOSS : 0.513 , TOTAL LOSS : 51.264 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  43 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 48.276 , KL LOSS : 0.658 , TOTAL LOSS : 51.565 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  44 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 46.206 , KL LOSS : 0.545 , TOTAL LOSS : 48.929 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  45 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 47.843 , KL LOSS : 0.653 , TOTAL LOSS : 51.106 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  46 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 49.608 , KL LOSS : 0.705 , TOTAL LOSS : 53.132 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  47 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 48.023 , KL LOSS : 0.543 , TOTAL LOSS : 50.738 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  48 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 51.355 , KL LOSS : 0.585 , TOTAL LOSS : 54.282 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  49 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 50.411 , KL LOSS : 0.592 , TOTAL LOSS : 53.369 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  50 , BETA VALUE : 5.000 , RECONSTRUCTION LOSS : 49.191 , KL LOSS : 0.691 , TOTAL LOSS : 52.645 , MEAN : -0.000 , STD : 1.000
TEST RECONSTRUCTION LOSS : 48.676
