-> EPOCH :  34 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 26.385 , KL LOSS : 10.202 , TOTAL LOSS : 36.588 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  35 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 28.267 , KL LOSS : 9.029 , TOTAL LOSS : 37.296 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  36 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 28.094 , KL LOSS : 10.148 , TOTAL LOSS : 38.242 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  37 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 28.325 , KL LOSS : 9.250 , TOTAL LOSS : 37.575 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  38 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 26.251 , KL LOSS : 10.262 , TOTAL LOSS : 36.512 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  39 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 24.853 , KL LOSS : 9.905 , TOTAL LOSS : 34.759 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  40 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 27.449 , KL LOSS : 10.224 , TOTAL LOSS : 37.672 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  41 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 27.688 , KL LOSS : 9.724 , TOTAL LOSS : 37.412 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  42 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 26.882 , KL LOSS : 10.009 , TOTAL LOSS : 36.891 , MEAN : 0.001 , STD : 1.000
-> EPOCH :  43 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 25.211 , KL LOSS : 10.181 , TOTAL LOSS : 35.392 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  44 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 25.730 , KL LOSS : 10.039 , TOTAL LOSS : 35.769 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  45 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 27.336 , KL LOSS : 10.216 , TOTAL LOSS : 37.552 , MEAN : -0.002 , STD : 1.000
-> EPOCH :  46 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 26.163 , KL LOSS : 10.078 , TOTAL LOSS : 36.241 , MEAN : -0.000 , STD : 1.000
-> EPOCH :  47 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 25.113 , KL LOSS : 10.329 , TOTAL LOSS : 35.442 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  48 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 26.694 , KL LOSS : 9.641 , TOTAL LOSS : 36.335 , MEAN : -0.001 , STD : 1.000
-> EPOCH :  49 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 25.821 , KL LOSS : 9.342 , TOTAL LOSS : 35.163 , MEAN : 0.001 , STD : 1.000
-> EPOCH :  50 , BETA VALUE : 1.000 , RECONSTRUCTION LOSS : 27.151 , KL LOSS : 10.132 , TOTAL LOSS : 37.284 , MEAN : -0.001 , STD : 1.000
TEST RECONSTRUCTION LOSS : 23.160
